Molecule ChEMBL ID,Smiles,Standard Relation,Standard Value
CHEMBL111314,COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1F,'=',120.23
CHEMBL110418,CS(=O)(=O)c1ccc(-c2cc3c(cc2-c2ccc(F)cc2)COC3)cc1,'=',83.18
CHEMBL295032,Cc1cc(Cl)cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,'=',79.43
CHEMBL350940,CS(=O)(=O)c1ccc(-c2oc(-c3ccccc3)nc2C2CCCCC2)cc1,'>',100000.0
CHEMBL333651,COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,'=',11.0
CHEMBL117862,COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1F,'=',156.0
CHEMBL29472,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Br)s2)cc1,'=',12.02
CHEMBL42549,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccc([N+](=O)[O-])c2)cc1,'=',575.44
CHEMBL327900,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CCCC3)C2)cc1,'=',61.66
CHEMBL118936,CS(=O)(=O)c1ccc(-c2cnc(C=O)n2-c2ccc(F)cc2)cc1,'>',1000.0
CHEMBL2111539,CS(=O)(=O)c1ccc(-c2cc(/C=C\CC[N+](=O)[O-])nn2C2CCCCC2)cc1,'=',500.0
CHEMBL97874,COc1ccc(-c2cscc2-c2ccc(S(N)(=O)=O)cc2)cc1F,'=',9.0
CHEMBL195550,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)S(=O)OC2)cc1,'>',100000.0
CHEMBL171417,CS(=O)(=O)c1ccc(-c2cc3ccccc3cc2-c2ccccc2)cc1,'=',41000.0
CHEMBL5430378,Nc1c(C(=O)N/N=C/c2ccc(O)cc2)cnn1-c1ccc(S(N)(=O)=O)cc1,'=',60.0
CHEMBL416394,COc1cc(-c2ccccc2)n(-c2ccc(S(N)(=O)=O)cc2)n1,'>',100000.0
CHEMBL29766,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)c(F)c2-c2ccccc2)cc1,'=',1.7
CHEMBL3309451,CS(=O)(=O)c1ccc(N2N=C(C(F)(F)F)CC2c2ccc3c(c2)OCCO3)cc1,'=',240.0
CHEMBL145257,CS(=O)(=O)Nc1cc2c(cc1S(=O)(=O)c1ccc(F)cc1F)C(=O)CC2,'>',10000.0
CHEMBL308682,CC(C)(O)c1cc(-c2ccc(S(N)(=O)=O)cc2)c(-c2ccc(F)cc2)s1,'=',410.0
CHEMBL3325733,Cc1nn(-c2ccccc2)c(N(C)C)c1/C=N/Nc1nc2ccccc2nc1O,'=',400.0
CHEMBL324863,COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1Cl,'=',140.0
CHEMBL319766,CCOc1cccc(NC(=O)Cc2c(C)n(C(=O)c3ccc(Cl)cc3)c3ccc(OC)cc23)c1,'=',650.0
CHEMBL5193344,C/C(=C\CC/C(C)=C/CCCC1(O)Oc2ccc(O)cc2C1=O)CO,'=',1380.0
CHEMBL5177548,C/C(=C\CC/C(C)=C/C/C=C(/CC(=O)c1cc(O)ccc1O)C(=O)O)CO,'=',4840.0
CHEMBL3735601,CS(=O)(=O)c1ccc(C2=NN(c3ccc(C(=O)O)cc3)C(c3cccs3)C2)cc1,'=',1160.0
CHEMBL417254,CC(C)(C)c1cc(C(=O)CSCC2CC2)cc2c1OCC2(C)C,'=',400.0
CHEMBL97834,COc1ccc2c(c1)c(CC(=O)N(C)C)c(C)n2C(=O)c1ccc(Cl)cc1,'=',18000.0
CHEMBL95311,COc1ccc2c(c1)c(CC(=O)NCCc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,'=',60.0
CHEMBL110401,CC1(C)OC(=O)C(Oc2ccc(F)c(F)c2)=C1c1ccc(S(C)(=O)=O)cc1,'=',10.0
CHEMBL282242,CS(=O)(=O)c1ccc(C2=C(c3cc(Br)ccn3)C(=O)CC2)cc1,'=',630.0
CHEMBL407577,Nc1cccnc1NC(=O)c1cccc(C(F)(F)F)c1,'>',100000.0
CHEMBL185420,CS(=O)(=O)c1ccc(-c2ccc(F)c(F)c2-c2ccc(F)c(Cl)c2)cc1,'=',10.0
CHEMBL295068,Cc1ccc(N2CC(c3ccc(S(C)(=O)=O)cc3)=C(c3ccc(F)cc3)C2=O)cc1,'=',1050.0
CHEMBL339221,CS(=O)(=O)c1ccc(-c2[nH]c(Cl)c(Br)c2-c2ccc(F)cc2)cc1,'=',88000.0
CHEMBL319825,COc1ccc2c(c1)c(CC(=O)Oc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,'=',400.0
CHEMBL339222,CC(C)(C)OC(=O)n1c(Br)cc(-c2ccc(F)cc2)c1-c1ccc(S(C)(=O)=O)cc1,'>',300000.0
CHEMBL433756,COc1ccc(Oc2c(C)[nH]c3cc(S(C)(=O)=O)ccc23)cc1,'=',1600.0
CHEMBL359563,Cc1[nH]c2cc(S(C)(=O)=O)ccc2c1Oc1ccc(F)cc1F,'=',4100.0
CHEMBL5078677,COc1ccc(NC(=O)c2ccccc2Nc2ccccc2)cc1,'>',150000.0
CHEMBL283086,Cc1nn(-c2ccc(S(N)(=O)=O)cc2)c(-c2ccccc2)c1Cl,'=',28.0
